,time,open,high,low,close,vol_,volume,btc_RSI,btc_MACD,btc_macsignal,btc_macdhist,btc_ADX,btc_Aroon,btc_Trendmode,btc_two_crows,btc_THREE_BLACK_CROWS,btc_THREE_INSIDE_UP_DOWN,CDL_3_LINE_STRIKE,CDL_3_OUTSIDE,CDL_3_STARS_IN_SOUTH,CDL_3_WHITE_SOLDIERS,CDL_ABANDONED_BABY,CDL_ADVANCE_BLOCK,btc_CDL_BELT_HOLD,btc_CDL_BREAK_AWAY,btc_CDL_CLOSING_MARUBOZU
0,1663270200,19729.9,19748.4,19705.1,19707.7,7.69404385,151723.65487232,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1663270500,19710.4,19750.4,19708.3,19738.6,4.87725169,96247.111985293,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1663270800,19738.7,19771.0,19738.6,19765.9,22.51951019,444940.879454764,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1663271100,19766.0,19795.8,19763.9,19790.6,9.26134661,183213.478164498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1663271400,19791.1,19827.4,19789.7,19800.9,6.30330025,124878.364637778,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1663271700,19809.9,19831.4,19764.0,19802.2,12.23827959,242289.419452215,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1663272000,19798.3,19816.5,19787.6,19787.6,2.49603181,49419.415096511,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1663272300,19788.8,19837.9,19788.8,19826.1,3.13021531,62042.606324223,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1663272600,19826.5,19847.4,19826.3,19830.1,15.87427445,314894.622500292,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1663272900,19830.1,19848.1,19830.1,19838.6,3.9572692,78505.482854866,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
